Filename,Version,Size,Date,Projection,Created By,Bounding Box,Start Pos,Zoom,Langs,Comment,Tile Size,Debug,POIs,Ways,Sub-Files
"FR050023031037K26P01Q024.map","3","19557828 bytes","Tue Mar 07 03:47:19 CET 2023","Mercator","FR0500_230310Q","MinLat=46.135, MinLon=2.825, MaxLat=48.42, MaxLon=5.54","N/A","N/A","N/A","N/A","256x256","false","0","19","2"
"FR020023031034M29702302M.map","3","29720752 bytes","Tue Mar 07 03:54:35 CET 2023","Mercator","FR0200_230310Q","MinLat=42.76, MinLon=-1.81, MaxLat=45.735, MaxLon=1.47","N/A","N/A","N/A","N/A","256x256","false","0","20","2"
"FR030023031037228701K020.map","3","17294532 bytes","Tue Mar 07 03:36:36 CET 2023","Mercator","FR0300_230310Q","MinLat=44.595, MinLon=2.045, MaxLat=46.825, MaxLon=4.51","N/A","N/A","N/A","N/A","256x256","false","0","19","2"
"FR09002303103B52BK00O01H.map","3","3467139 bytes","Tue Mar 07 03:49:20 CET 2023","Mercator","FR0900_230310Q","MinLat=41.315, MinLon=8.515, MaxLat=43.05, MaxLon=9.58","N/A","N/A","N/A","N/A","256x256","false","0","19","2"
"FR160023031035K29S02E027.map","3","32583931 bytes","Tue Mar 07 03:58:53 CET 2023","Mercator","FR1600_230310Q","MinLat=42.555, MinLon=-0.35, MaxLat=45.065, MaxLon=3.47","N/A","N/A","N/A","N/A","256x256","false","0","19","2"
"FR200023031034S27U01S01Y.map","3","21587797 bytes","Tue Mar 07 03:42:21 CET 2023","Mercator","FR2000_230310Q","MinLat=45.07, MinLon=-1.58, MaxLat=47.195, MaxLon=1.235","N/A","N/A","N/A","N/A","256x256","false","0","20","2"
"FR170023031036Q24201Q016.map","3","17387406 bytes","Tue Mar 07 03:45:07 CET 2023","Mercator","FR1700_230310Q","MinLat=49.95, MinLon=1.535, MaxLat=51.11, MaxLon=4.25","N/A","N/A","N/A","N/A","256x256","false","0","20","2"
"FR110023031035T25201401F.map","3","10498579 bytes","Tue Mar 07 03:52:14 CET 2023","Mercator","FR1100_230310Q","MinLat=48.645, MinLon=0.045, MaxLat=50.095, MaxLon=1.825","N/A","N/A","N/A","N/A","256x256","false","0","20","2"
"FR060023031032I26702N01L.map","3","29601326 bytes","Tue Mar 07 03:31:51 CET 2023","Mercator","FR0600_230310Q","MinLat=47.26, MinLon=-5.16, MaxLat=48.93, MaxLon=-0.995","N/A","N/A","N/A","N/A","256x256","false","0","20","2"
"FR01002303103A326100W01M.map","3","12684565 bytes","Tue Mar 07 03:48:39 CET 2023","Mercator","FR0100_230310Q","MinLat=47.4, MinLon=6.82, MaxLat=49.1, MaxLon=8.255","N/A","N/A","N/A","N/A","256x256","false","0","19","2"
"FR100023031039327201801O.map","3","13596213 bytes","Tue Mar 07 03:43:52 CET 2023","Mercator","FR1000_230310Q","MinLat=46.24, MinLon=5.23, MaxLat=48.045, MaxLon=7.165","N/A","N/A","N/A","N/A","256x256","false","0","19","2"
"FR150023031038U25J01S01R.map","3","18659392 bytes","Tue Mar 07 03:51:08 CET 2023","Mercator","FR1500_230310Q","MinLat=47.795, MinLon=4.87, MaxLat=49.635, MaxLon=7.66","N/A","N/A","N/A","N/A","256x256","false","0","19","2"
